"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"PKD2",4,-1.27449326536208,-0.637246632681039,-0.386236682954409,0.979590954187621,1,3,0.75,0.202488657902077
"MACROD1",3,-1.27588227790436,-0.736630976602353,-3.07356247263475,2.00221593097945,1,2,0.666666666666667,0.201997136666818
"PLP2",11,-1.27700933144989,-0.385032800563807,-0.580969380562411,0.70771802362738,3,8,0.727272727272727,0.201598952846403
"LSM3",10,-1.27873198529218,-0.404370559043221,-11.2728799142536,1.51289942240545,3,7,0.7,0.200991452146007
"IDI1",7,-1.27979112202726,-0.483715576998919,-4.18607626388487,0.88504040811789,1,6,0.857142857142857,0.200618607039178
"MYL12A",11,-1.27995320997187,-0.385920413335242,-1.20442252521323,0.557766778472356,1,10,0.909090909090909,0.200561592214089
"G6PD",3,-1.28156958560843,-0.739914545236264,-7.032199219162,0.723416705588032,0,3,1,0.199993675090746
"ERLEC1",7,-1.28286197051502,-0.484876248629288,-2.67147220297743,1.09933095812304,2,5,0.714285714285714,0.199540438349438
"PMVK",11,-1.28496352477883,-0.387431080089448,-1.5590230706695,0.725009008240097,3,8,0.727272727272727,0.198805030479434
"DDX46",4,-1.28745013241534,-0.64372506620767,-8.79591851094171,2.57100749939913,2,2,0.5,0.197937440283612
"PFKM",4,-1.28763541260832,-0.64381770630416,-1.45209928357138,1.46981175958092,2,2,0.5,0.197872906124083
"DESI2",6,-1.28872846407287,-0.526121192329869,-2.0538631741833,1.07911478575583,2,4,0.666666666666667,0.197492503244811
"RABL6",11,-1.2904443409469,-0.389083608341667,-1.24432996709925,0.791938952157215,4,7,0.636363636363636,0.196896425138301
"SUCLG2",5,-1.29105858668874,-0.577378952554165,-20.9245727413606,0.444624775412393,0,5,1,0.196683362954415
"MRPL42",4,-1.2918046395674,-0.645902319783699,-4.43295794231393,0.821439902725878,1,3,0.75,0.196424808238699
"FKBP1A",3,-1.29380663968662,-0.746979611702395,-3.06118793299304,0.998352338788739,1,2,0.666666666666667,0.195732218671945
"TMEM98",7,-1.2954270158179,-0.48962538935553,-0.318152336255927,1.05133909084053,3,4,0.571428571428571,0.195172963450385
"CLEC11A",7,-1.29881415229444,-0.490905606608896,-0.394279859403765,1.37089886433293,2,5,0.714285714285714,0.194007716620085
"AIDA",13,-1.30192565640129,-0.361089208538227,-1.61596837435854,0.90317818486647,4,9,0.692307692307692,0.19294180093608
"ECH1",12,-1.30230559348938,-0.375943242484124,-1.42156310180869,1.09039870103585,5,7,0.583333333333333,0.192811940308145
"SPTSSA",7,-1.30340188055889,-0.492639604904675,-3.68485472706793,0.933881439296606,1,6,0.857142857142857,0.192437594829701
"MTCH2",11,-1.30668532209019,-0.393980448403442,-7.54002180504914,0.908581006203344,3,8,0.727272727272727,0.191319605665898
"COMMD1",4,-1.30743927880611,-0.653719639403054,-4.05418366062096,0.91395509358761,0,4,1,0.191063564638243
"TXNL1",10,-1.31086980298848,-0.414533429337981,-1.98095366410508,0.966445319734004,5,5,0.5,0.189901754487306
"UBE2B",13,-1.31162005218285,-0.363777950159387,-2.7971319933233,1.38944008422537,5,8,0.615384615384615,0.189648363818138
"ZNF655",6,-1.31405086675336,-0.536459019934616,-3.06062860994468,0.962938779597913,1,5,0.833333333333333,0.188829086978693
"OSBPL8",5,-1.31524827939522,-0.588196912003468,-1.72903126234476,1.77510778514576,2,3,0.6,0.188426474174256
"HNRNPDL",12,-1.32796561746118,-0.38335065335789,-1.16339387671966,1.38093023417882,4,8,0.666666666666667,0.184189465664174
"EIF4G2",13,-1.33200667134026,-0.369432180982877,-0.783523306143905,1.40990166215067,4,9,0.692307692307692,0.182857996300044
"COL4A1",3,-1.33318850964206,-0.769716744922359,-0.654047341717628,1.06589193573098,1,2,0.666666666666667,0.182469949127281
"TKT",11,-1.33387555486098,-0.402178612045546,-1.94590516294656,0.82970445092973,4,7,0.636363636363636,0.182244644151338
"PRNP",13,-1.33426780223477,-0.370059305858315,-0.845085569710352,1.2807993915238,3,10,0.769230769230769,0.182116105746897
"MRPL43",9,-1.33633355390788,-0.445444517969295,-1.71621108438958,0.79750227350638,2,7,0.777777777777778,0.181440273910975
"MAP1B",6,-1.33785473536772,-0.546176908602855,-1.73861122300576,1.52321803886238,2,4,0.666666666666667,0.180943795035538
"XPNPEP1",3,-1.33927643857807,-0.773231612332372,-1.96967968968908,1.51622791136799,1,2,0.666666666666667,0.180480696118736
"ELOC",8,-1.34032312403611,-0.473875784993536,-3.80315814601178,1.29274306467811,3,5,0.625,0.180140316779175
"SAP18",11,-1.34217998443123,-0.404682491771223,-2.00793026901687,0.58241364710647,4,7,0.636363636363636,0.179537644673494
"SMIM14",3,-1.3433824321352,-0.775602208817873,-1.35400417155244,1.40751800167925,1,2,0.666666666666667,0.179148172461233
"SH3GL1",8,-1.34406858609677,-0.475200005804421,-0.567596394720474,0.786979355762193,3,5,0.625,0.178926209266741
"TCEA1",7,-1.35009689858673,-0.510288662785724,-3.63437929599321,0.783946385964239,2,5,0.714285714285714,0.176984903072212
"COQ4",9,-1.35315161322664,-0.451050537742213,-1.14460897019161,0.440559596008797,2,7,0.777777777777778,0.176007199660572
"FXYD6",7,-1.35373451626895,-0.511663553035994,-0.836987843202021,1.49434336912324,2,5,0.714285714285714,0.175821091975409
"ETFB",11,-1.35394902912899,-0.408230992262438,-4.48131525650128,1.6974808692898,4,7,0.636363636363636,0.175752639852427
"MGST3",13,-1.35478716633439,-0.375750353504553,-4.96997113142823,1.19201097450136,5,8,0.615384615384615,0.175485376632186
"RNASEH2C",9,-1.35567002058523,-0.451890006861743,-3.9875867486811,0.87519326579487,4,5,0.555555555555556,0.175204182152097
"SERBP1",13,-1.35676747630674,-0.37629959266968,-4.72726266623503,1.23586425121561,5,8,0.615384615384615,0.174855104693516
"SCFD1",5,-1.35966799100252,-0.608062010942441,-1.01796618685453,0.701197214130648,1,4,0.8,0.173935011723781
"CLIP4",3,-1.36167048244719,-0.786160819588453,-3.93819797031142,0.677391466512104,0,3,1,0.173301900693318
"TMEM183A",3,-1.36642833544128,-0.788907767295358,-3.41605231237137,1.39842998220686,1,2,0.666666666666667,0.171804560126779
"KMT2A",5,-1.36672526365136,-0.611218119218151,-2.04378676043173,1.45959008821445,2,3,0.6,0.171711436030835
"NUDT21",7,-1.36735519698034,-0.516811686443103,-12.0340709258702,1.07127373614913,1,6,0.857142857142857,0.171513998318731
"EIF2AK1",12,-1.36787233973885,-0.394870731782635,-5.87107763662892,1.05615888909599,4,8,0.666666666666667,0.171352039206071
"DHRS3",13,-1.37086543175086,-0.380209661995293,-1.35514505957714,1.40528766150744,4,9,0.692307692307692,0.170416909118041
"IFI35",8,-1.37300977677181,-0.485432261895387,-2.63408645461187,0.910851625128999,1,7,0.875,0.169749307340358
"RCN2",12,-1.37435666215225,-0.396742594428079,-1.1500623837802,1.41623362923087,4,8,0.666666666666667,0.16933098344531
"CARHSP1",11,-1.37643921753268,-0.415012039207843,-1.3600023434525,0.611965907172249,2,9,0.818181818181818,0.168685693315728
