"gene","n_samples","z_combined","mean_z","mean_logfc","sd_z","n_positive","n_negative","consistency","p_combined"
"MYO10",6,2.86842021738375,1.1710276500789,0.654248738739038,0.955371594082569,5,1,0.833333333333333,0.00412527225786894
"CPNE3",19,2.86445127381139,0.657150191117905,-0.256727542495947,1.24154906967903,14,5,0.736842105263158,0.0041773241776442
"NKRF",6,2.86071281228287,1.16788111512255,1.49063752435706,1.11175921364652,6,0,1,0.0042268975732088
"LGALS1",22,2.85582874032532,0.6088647332263,0.279985543966704,3.22104833151144,12,10,0.545454545454545,0.00429246600953444
"S100A16",9,2.84956167722886,0.949853892409619,-0.154549322897236,2.00256893405644,6,3,0.666666666666667,0.00437795165474602
"FAM234A",20,2.83579258116803,0.63410249815813,0.533753986075129,1.34889815365381,13,7,0.65,0.00457121232382585
"GOT2",13,2.83531747257874,0.786375579200125,0.91517886114954,1.18066265630932,10,3,0.769230769230769,0.00457801669989842
"NT5DC2",18,2.82855940442265,0.666697845285412,0.808842902036491,1.49159229060573,11,7,0.611111111111111,0.00467580223846601
"ERI3",19,2.82762073978174,0.648700687124649,0.477207207708497,1.26046528987499,13,6,0.684210526315789,0.00468953274960238
"WDTC1",8,2.82692222862371,0.999467938873406,0.5685868272164,1.80375619662215,5,3,0.625,0.0046997740429968
"CBX6",11,2.81964769394783,0.8501557674378,0.490644652681795,1.40875432014056,8,3,0.727272727272727,0.00480764009082754
"RABL6",17,2.80908136388529,0.681302304367833,3.40073799339613,1.37231727061538,13,4,0.764705882352941,0.00496830884309455
"PLOD1",16,2.80274103109201,0.700685257773003,0.268873927320193,1.85066524069885,11,5,0.6875,0.00506703381008049
"TRAPPC2",5,2.80151931030188,1.25287752362266,0.397649096753273,0.989385620789344,4,1,0.8,0.00508625970289064
"BGN",22,2.78626994079969,0.594034747338598,-0.0620852051965818,2.31566881219511,13,9,0.590909090909091,0.00533184502652504
"STAT2",20,2.77352200081807,0.620178373092044,0.410557196613662,1.55413126169727,12,8,0.6,0.0055453090618143
"GYPC",17,2.77260151223312,0.672454640746141,-0.127910875198057,1.71651235675204,10,7,0.588235294117647,0.00556101718109728
"CD55",6,2.7692822758997,1.13055475494793,2.13307381105591,1.08911092298437,5,1,0.833333333333333,0.00561799387117732
"RHOBTB3",5,2.75711602414773,1.23301977036965,0.69286562171041,1.63997191632482,4,1,0.8,0.00583136562029776
"SMDT1",22,2.75193054447948,0.586713563443909,1.01599185392531,1.19382691807126,16,6,0.727272727272727,0.00592450847558687
"MZT2B",15,2.75043819915124,0.710160089339033,-0.238865325752093,1.79393620770006,11,4,0.733333333333333,0.00595156168755926
"CDK4",21,2.74635840231481,0.599304536385028,0.374509617669015,1.31257333015708,15,6,0.714285714285714,0.00602608925233678
"NSUN2",8,2.74261952243632,0.969662431264666,0.404852941742931,1.2363884979579,6,2,0.75,0.00609512634725686
"SLC25A1",17,2.74145965778219,0.664901631612094,0.503035521345868,1.02864343570756,11,6,0.647058823529412,0.00611668715166838
"SHC1",9,2.73544817988855,0.911816059962851,0.551834868943924,0.80962720744843,8,1,0.888888888888889,0.00622953939744548
"RNF40",16,2.72716417932055,0.681791044830139,0.429485447563918,1.2254639915197,11,5,0.6875,0.00638812454957939
"PI4KB",20,2.72054832155291,0.608333098306526,0.429401883799571,1.46481814464034,12,8,0.6,0.00651737456804621
"CAPRIN1",22,2.71743907783926,0.579359958048059,0.324905170831699,1.40607074934327,16,6,0.727272727272727,0.00657892658673846
"REEP5",22,2.71574948939997,0.578999736582456,0.562818611721612,1.41496918101528,14,8,0.636363636363636,0.00661259322574327
"STRAP",20,2.71563471552885,0.607234382598081,0.977332688876567,1.26093131675724,15,5,0.75,0.00661488581236127
"PYCR2",17,2.7107665018811,0.657457447861286,0.920172373329899,1.00703986399983,13,4,0.764705882352941,0.00671278796123258
"ACAA1",17,2.70883054449868,0.656987909227498,0.546504851682219,1.23275545127284,11,6,0.647058823529412,0.00675208160910796
"SMARCD2",19,2.70408920491369,0.620360609396739,-2.51866938020649,1.37162874760479,14,5,0.736842105263158,0.00684918992679781
"SSR4",17,2.69968079673234,0.654768769434062,0.244429308681946,1.90506368448798,9,8,0.529411764705882,0.00694060326653269
"RHOC",4,2.69935743280543,1.34967871640271,-0.170306330053293,3.52779013909719,2,2,0.5,0.00694735153093949
"DBNL",5,2.69907503739956,1.20706305199964,0.933552725226315,1.79187339137024,4,1,0.8,0.00695324964567575
"MAU2",8,2.6932943741273,0.952223357838495,1.06719994150154,0.712182622398834,7,1,0.875,0.00707497716524603
"NME2",14,2.68728868852318,0.718208112271916,0.174156105076752,1.52635208815105,10,4,0.714285714285714,0.00720346646879526
"ARHGAP1",15,2.67547482373499,0.690804629034856,0.508938269428743,1.15623483977513,11,4,0.733333333333333,0.00746234777622011
"COL4A2",4,2.6719113725771,1.33595568628855,0.748830332417377,2.01033611778087,3,1,0.75,0.00754205652009307
"KANSL1",5,2.6715335035895,1.19474610363886,1.49720808319421,1.16733124642751,4,1,0.8,0.00755055345783294
"VPS28",22,2.66861782267307,0.568951231473248,0.161737156535532,1.54585752337564,13,9,0.590909090909091,0.00761640596208302
"ZNF131",6,2.66777659617472,1.08911523472783,1.47848932914573,1.56137490529259,5,1,0.833333333333333,0.00763550105902692
"LOXL2",5,2.66628626195258,1.19239946583996,0.817910420940132,1.28324757790657,4,1,0.8,0.00766943570763439
"ZNF32",9,2.66108609493441,0.88702869831147,-2.12390860757638,1.43203429908913,6,3,0.666666666666667,0.00778890382188106
"PKDCC",7,2.66102254443587,1.00577198367338,0.621047136217266,2.12255074814742,5,2,0.714285714285714,0.00779037408068828
"SDF4",22,2.6603168525325,0.567181458692831,0.443853098262634,1.03132247376939,16,6,0.727272727272727,0.0078067171824227
"CAPNS1",9,2.6603164172623,0.886772139087434,0.707705899714301,0.645721682852625,8,1,0.888888888888889,0.0078067272723065
