dataset,sample,sample_label,malignant_threshold,variable,variable_type,n_spots,n_low,n_high,low_snai1ac_threshold,high_snai1ac_threshold,low_mean,high_mean,high_minus_low,cohens_d
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b3,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,0.860789703624012,-0.0480717675329767,-0.9088614711569887,-0.4397522450457082
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b4,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,2.9800310233872667,1.2196511589475516,-1.760379864439715,-0.44959071375716947
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b5,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,1.6584311160186673,-0.40280892449648803,-2.0612400405151554,-0.47108638859568963
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b6,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,0.39545170529893686,0.0769049957079375,-0.31854670959099934,-0.07866901717356349
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b7,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,-2.106898631175118,-1.7547398108531622,0.3521588203219559,0.09816547756291931
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b8,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,3.121176284939676,1.7094192386464646,-1.4117570462932114,-0.4393820378686938
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b9,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,-1.5820233924801947,-1.2062554910739602,0.3757679014062345,0.09694389789952752
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b10,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,0.19826889728165834,-0.12760891924912707,-0.3258778165307854,-0.1005682091011857
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b11,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,0.8684578982993814,0.5600074604492319,-0.3084504378501495,-0.09568632988716207
denisenko_2022,SP8,denisenko_2022__SP8,0.1,b12,ilr_balance,2509,628,628,-0.5071271389183498,0.8071403414765064,1.8949611947317335,1.2719504715955052,-0.6230107231362283,-0.18209687635630084
