cell_type,spearman_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
Unidentifiable,-0.390566883028757,4.2088396821269726e-125,visium/denisenko_2022,SP7,denisenko_2022,denisenko_2022__SP7,primary tumor,unknown
Malignant,0.5235192003730432,4.2233013602655654e-213,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
CAF,-0.3894637894778277,1.9975434088104224e-110,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Endothelial,-0.2631044100226242,3.341894902363876e-49,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Plasma,-0.081169873071254,7.613058528455141e-06,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
B cell,-0.1198472496026618,3.55653634454576e-11,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
T CD4,-0.1120904578418292,6.012873842295534e-10,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
T CD8,-0.0891269582798261,8.822980228420752e-07,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
NK,-0.061384022764891,0.0007186095919907,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
cDC,-0.2185428720424572,4.057732895581148e-34,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
pDC,-0.201443542091448,3.874946520388306e-29,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Macrophage,-0.2142089298855411,8.164339666581054e-33,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Mast,-0.037975563623669,0.0365004399310478,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Neutrophil,-0.0195837688238208,0.2809492286085123,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Unidentifiable,-0.3778156155337012,1.6274147287805109e-103,visium/denisenko_2022,SP8,denisenko_2022,denisenko_2022__SP8,primary tumor,unknown
Malignant,0.5585714854970829,7.68065885940364e-126,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
CAF,-0.5186714679053727,9.095964241897857e-106,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Endothelial,-0.0642797899585664,0.0120476850550848,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Plasma,-0.0687610823658173,0.0072273280832973,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
B cell,-0.1751484378101226,5.679663696021324e-12,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
T CD4,-0.1215189111974874,1.9434164841957696e-06,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
T CD8,-0.039473523073804,0.1233589255875231,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
NK,-0.040426938715002,0.114548835408033,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
cDC,-0.1445051267685301,1.4426085616371093e-08,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
pDC,-0.1150623746010833,6.649392531584508e-06,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Macrophage,-0.2644483924215219,8.09238836816503e-26,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
Mast,-0.0528441113872841,0.0390767159645159,visium/yamamoto_2025,Pt1-1,yamamoto_2025,yamamoto_2025__Pt1-1,secondary site,BRCAwt
