dataset,sample,balance,spearman_r
ju_2024,CPS_OV19_LtOV1,b9,0.026158254208571565
ju_2024,CPS_OV19_LtOV1,b10,-0.006191987900534847
ju_2024,CPS_OV19_LtOV1,b11,0.02634282782429613
ju_2024,CPS_OV19_LtOV1,b12,-0.007998801030320165
ju_2024,CPS_OV1RtOV3,b1,0.0663732652589557
ju_2024,CPS_OV1RtOV3,b2,-0.040273644882366545
ju_2024,CPS_OV1RtOV3,b3,0.01364530417103021
ju_2024,CPS_OV1RtOV3,b4,-0.019882952507057943
ju_2024,CPS_OV1RtOV3,b5,-0.07113311453675392
ju_2024,CPS_OV1RtOV3,b6,-0.019894338049338076
ju_2024,CPS_OV1RtOV3,b7,-0.0022088463520369716
ju_2024,CPS_OV1RtOV3,b8,-0.03691533085273747
ju_2024,CPS_OV1RtOV3,b9,0.009368580014734871
ju_2024,CPS_OV1RtOV3,b10,-0.007359714177054648
ju_2024,CPS_OV1RtOV3,b11,-0.020296328773558886
ju_2024,CPS_OV1RtOV3,b12,0.02851311664142083
ju_2024,CPS_OV20RtOV4,b1,0.07581427568112967
ju_2024,CPS_OV20RtOV4,b2,0.046847609945859306
ju_2024,CPS_OV20RtOV4,b3,0.10563129841993699
ju_2024,CPS_OV20RtOV4,b4,-0.07230885743565212
ju_2024,CPS_OV20RtOV4,b5,-0.0036146763072602756
ju_2024,CPS_OV20RtOV4,b6,-0.01978300640386869
ju_2024,CPS_OV20RtOV4,b7,-0.020609609555136573
ju_2024,CPS_OV20RtOV4,b8,0.02364388547665473
ju_2024,CPS_OV20RtOV4,b9,0.09516732963200399
ju_2024,CPS_OV20RtOV4,b10,0.009722315654016857
ju_2024,CPS_OV20RtOV4,b11,-0.016445145218021283
ju_2024,CPS_OV20RtOV4,b12,0.03297432094943551
ju_2024,CPS_OV24RTOV4,b1,0.23971427975004686
ju_2024,CPS_OV24RTOV4,b2,-0.05975531213725747
ju_2024,CPS_OV24RTOV4,b3,-0.0069033985103649975
ju_2024,CPS_OV24RTOV4,b4,0.001452766713896962
