cell_type,partial_r,p_value,dataset,sample,dataset_short,sample_label,site_group,brca_group
T CD8,0.0356980286860908,0.1265612903525718,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
NK,0.0076206488227384,0.7443871365336432,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
cDC,0.0922459454229772,7.649706751582443e-05,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
pDC,0.2225051623251276,5.3746800145975575e-22,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Macrophage,0.0108118333687843,0.6436577652784461,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Mast,0.2232167475963561,3.9472888806884976e-22,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Neutrophil,0.1939370493860673,5.423661672155201e-17,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Unidentifiable,0.262048523941674,3.660848044966232e-30,visium/yamamoto_2025,Pt2-1,yamamoto_2025,yamamoto_2025__Pt2-1,secondary site,BRCAwt
Malignant,,,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
CAF,0.0091620483044935,0.6802308745533503,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Endothelial,0.0010824277143008,0.961165374321258,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
Plasma,0.027909579542062,0.2092209688285994,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
B cell,0.0883995029412356,6.767760675677791e-05,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
T CD4,-0.0332274243083535,0.1348901614370629,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
T CD8,0.0092370928509182,0.6777582993767135,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
NK,0.0022657657606564,0.9188187288345724,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
cDC,0.0498654725821946,0.0247995158106644,visium/yamamoto_2025,Pt2-2,yamamoto_2025,yamamoto_2025__Pt2-2,primary tumor,BRCAwt
