dataset,sample,variable,crs_numeric,high_group_mean_across_thresholds,high_minus_low_mean_across_thresholds,n_thresholds
denisenko_2022,SP3,HALLMARK_COMPLEMENT_score,3.0,0.05363286508505244,0.320664569761371,5
denisenko_2022,SP3,HALLMARK_DNA_REPAIR_score,3.0,0.07218965799704906,0.08200824449329475,5
denisenko_2022,SP3,HALLMARK_E2F_TARGETS_score,3.0,-0.209180207111485,-0.36491954550639283,5
denisenko_2022,SP3,HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION_score,3.0,-0.2361533118162586,-0.18795910901114737,5
denisenko_2022,SP3,HALLMARK_ESTROGEN_RESPONSE_EARLY_score,3.0,-0.04601561305014238,-0.05535947464231803,5
denisenko_2022,SP3,HALLMARK_ESTROGEN_RESPONSE_LATE_score,3.0,0.6434416041017729,0.6193052434355873,5
denisenko_2022,SP3,HALLMARK_FATTY_ACID_METABOLISM_score,3.0,-0.17825864321746682,-0.07245448156623166,5
denisenko_2022,SP3,HALLMARK_G2M_CHECKPOINT_score,3.0,0.06865937266851367,0.19246124046257557,5
denisenko_2022,SP3,HALLMARK_GLYCOLYSIS_score,3.0,0.043111011873803624,0.12377288662046575,5
denisenko_2022,SP3,HALLMARK_HEDGEHOG_SIGNALING_score,3.0,0.1891428697057356,0.11740369802539412,5
denisenko_2022,SP3,HALLMARK_HEME_METABOLISM_score,3.0,0.45711861893523464,0.6484726406152422,5
denisenko_2022,SP3,HALLMARK_HYPOXIA_score,3.0,-0.006009460976734921,-0.032010038553896,5
denisenko_2022,SP3,HALLMARK_IL2_STAT5_SIGNALING_score,3.0,-0.15862939646269672,-0.43488395237026073,5
denisenko_2022,SP3,HALLMARK_IL6_JAK_STAT3_SIGNALING_score,3.0,0.05755755184537796,0.14150249283918775,5
denisenko_2022,SP3,HALLMARK_INFLAMMATORY_RESPONSE_score,3.0,0.2330701652097754,0.10433838120114672,5
denisenko_2022,SP3,HALLMARK_INTERFERON_ALPHA_RESPONSE_score,3.0,-0.02688871337595212,-0.06819207573226772,5
denisenko_2022,SP3,HALLMARK_INTERFERON_GAMMA_RESPONSE_score,3.0,-0.24648078070151005,-0.33248288868308506,5
denisenko_2022,SP3,HALLMARK_KRAS_SIGNALING_DN_score,3.0,0.1675715776359809,0.5000428269751587,5
denisenko_2022,SP3,HALLMARK_KRAS_SIGNALING_UP_score,3.0,0.4173636446815543,0.34184196102089165,5
denisenko_2022,SP3,HALLMARK_MITOTIC_SPINDLE_score,3.0,-0.08470467243239035,-0.056791016701981924,5
denisenko_2022,SP3,HALLMARK_MTORC1_SIGNALING_score,3.0,0.16662516932771979,0.13117857745064318,5
denisenko_2022,SP3,HALLMARK_MYC_TARGETS_V1_score,3.0,0.24081036315761245,0.2301668527378439,5
denisenko_2022,SP3,HALLMARK_MYC_TARGETS_V2_score,3.0,0.25051244985915294,0.35858817618488104,5
denisenko_2022,SP3,HALLMARK_MYOGENESIS_score,3.0,-0.10583304032747018,-0.3561069401072913,5
denisenko_2022,SP3,HALLMARK_NOTCH_SIGNALING_score,3.0,0.28475882272102643,0.4059727384728661,5
denisenko_2022,SP3,HALLMARK_OXIDATIVE_PHOSPHORYLATION_score,3.0,-0.35113298605859855,-0.392276381538015,5
denisenko_2022,SP3,HALLMARK_P53_PATHWAY_score,3.0,-0.17136393505705905,-0.11745477473025204,5
denisenko_2022,SP3,HALLMARK_PANCREAS_BETA_CELLS_score,3.0,0.41774161613066274,0.3571079361227633,5
denisenko_2022,SP3,HALLMARK_PEROXISOME_score,3.0,0.3699911796806107,0.6400178356566872,5
denisenko_2022,SP3,HALLMARK_PI3K_AKT_MTOR_SIGNALING_score,3.0,-0.24695366262467808,-0.4702575932367967,5
denisenko_2022,SP3,HALLMARK_PROTEIN_SECRETION_score,3.0,-0.21252911215810832,-0.19178274095869013,5
denisenko_2022,SP3,HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY_score,3.0,-0.2896222776155569,-0.34870469467948617,5
denisenko_2022,SP3,HALLMARK_SPERMATOGENESIS_score,3.0,0.11078744612352102,-0.1806401666203044,5
denisenko_2022,SP3,HALLMARK_TGF_BETA_SIGNALING_score,3.0,-0.46572253457983354,-0.6373640168677123,5
denisenko_2022,SP3,HALLMARK_TNFA_SIGNALING_VIA_NFKB_score,3.0,-0.027024832114553178,-0.016254606450195698,5
denisenko_2022,SP3,HALLMARK_UNFOLDED_PROTEIN_RESPONSE_score,3.0,-0.09363571820894115,-0.16270013089819685,5
denisenko_2022,SP3,HALLMARK_UV_RESPONSE_DN_score,3.0,0.10479146607407844,0.21851424198095856,5
denisenko_2022,SP3,HALLMARK_UV_RESPONSE_UP_score,3.0,-0.204722860073339,-0.2952371603144086,5
denisenko_2022,SP3,HALLMARK_WNT_BETA_CATENIN_SIGNALING_score,3.0,-0.33113565582919186,-0.4295764601433648,5
denisenko_2022,SP3,HALLMARK_XENOBIOTIC_METABOLISM_score,3.0,0.12085421534779177,0.04242763631750096,5
denisenko_2022,SP4,HALLMARK_ADIPOGENESIS_score,2.0,0.19656419614182746,0.28073597400391864,5
denisenko_2022,SP4,HALLMARK_ALLOGRAFT_REJECTION_score,2.0,-0.6942648912802829,-0.4334554671544021,5
denisenko_2022,SP4,HALLMARK_ANDROGEN_RESPONSE_score,2.0,-0.5649190688550192,-0.24064372038183834,5
denisenko_2022,SP4,HALLMARK_ANGIOGENESIS_score,2.0,0.5265004454631598,0.33192735890936964,5
denisenko_2022,SP4,HALLMARK_APICAL_JUNCTION_score,2.0,0.30030193761636664,0.18390504824835768,5
denisenko_2022,SP4,HALLMARK_APICAL_SURFACE_score,2.0,-0.21769715137351695,-0.1374085995528567,5
denisenko_2022,SP4,HALLMARK_APOPTOSIS_score,2.0,-0.6181528319636647,-0.44058014771088627,5
denisenko_2022,SP4,HALLMARK_BILE_ACID_METABOLISM_score,2.0,0.6130092279257399,0.3915811865581322,5
