dataset,sample,sample_label,balance,balance_label,malignant_threshold,low_mean,high_mean,high_minus_low
yamamoto_2025,Pt1-4,yamamoto_2025__Pt1-4,b1,b1 Malignant vs TME,0.6,8.830494871261168,9.202270354064378,0.37177548280321027
yamamoto_2025,Pt2-1,yamamoto_2025__Pt2-1,b1,b1 Malignant vs TME,0.6,9.275530653802258,8.550273656364679,-0.7252569974375795
yamamoto_2025,Pt2-2,yamamoto_2025__Pt2-2,b1,b1 Malignant vs TME,0.6,8.151554882132013,8.434488977333745,0.28293409520173185
yamamoto_2025,Pt2-3,yamamoto_2025__Pt2-3,b1,b1 Malignant vs TME,0.6,7.986043172620027,7.92906696867803,-0.056976203941997206
yamamoto_2025,Pt2-4,yamamoto_2025__Pt2-4,b1,b1 Malignant vs TME,0.6,8.620729234795506,8.24059955524291,-0.3801296795525957
denisenko_2022,SP1,denisenko_2022__SP1,b1,b1 Malignant vs TME,0.7,8.417719116255858,8.157272897495378,-0.2604462187604799
denisenko_2022,SP2,denisenko_2022__SP2,b1,b1 Malignant vs TME,0.7,8.791260752692256,8.534188034286563,-0.2570727184056931
denisenko_2022,SP3,denisenko_2022__SP3,b1,b1 Malignant vs TME,0.7,8.116724753511637,7.852338076423578,-0.2643866770880585
denisenko_2022,SP4,denisenko_2022__SP4,b1,b1 Malignant vs TME,0.7,8.64800173375196,7.751863260228134,-0.8961384735238251
denisenko_2022,SP5,denisenko_2022__SP5,b1,b1 Malignant vs TME,0.7,8.898890942607471,8.050413065520312,-0.8484778770871593
denisenko_2022,SP6,denisenko_2022__SP6,b1,b1 Malignant vs TME,0.7,9.720991833131931,7.107078062554177,-2.6139137705777538
denisenko_2022,SP7,denisenko_2022__SP7,b1,b1 Malignant vs TME,0.7,9.156677361184336,8.609541124710624,-0.5471362364737118
denisenko_2022,SP8,denisenko_2022__SP8,b1,b1 Malignant vs TME,0.7,8.585957771356686,7.0785979363764415,-1.5073598349802442
ju_2024,CPS_OV19_LtOV1,ju_2024__CPS_OV19_LtOV1,b1,b1 Malignant vs TME,0.7,9.053595969758456,8.217723501442753,-0.8358724683157028
ju_2024,CPS_OV1RtOV3,ju_2024__CPS_OV1RtOV3,b1,b1 Malignant vs TME,0.7,8.649007771024113,8.748740440389245,0.0997326693651317
ju_2024,CPS_OV20RtOV4,ju_2024__CPS_OV20RtOV4,b1,b1 Malignant vs TME,0.7,8.892141034197492,9.145225241596174,0.25308420739868254
ju_2024,CPS_OV24RTOV4,ju_2024__CPS_OV24RTOV4,b1,b1 Malignant vs TME,0.7,9.084235470359298,8.379519440840877,-0.7047160295184209
ju_2024,CPS_OV34RtOV1,ju_2024__CPS_OV34RtOV1,b1,b1 Malignant vs TME,0.7,9.37893179683813,9.266400962321889,-0.11253083451624057
