release_path,line,match,status
scripts\python\spottedpy_v2_neighborhood_postprocess_ranked_and_source_comparisons.py,31,"r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\S3_cNMF_Tumor_Programs""",needs_config_parameterization
scripts\python\spottedpy_v2_clean_allinone_snai1ac_primary.py,18,"ANALYSIS_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready"")",needs_config_parameterization
scripts\python\spottedpy_v2_hallmark_spacet_hotspots.py,50,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_hallmark_spacet_hotspots.py,52,"CODE_ROOT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_hallmark_scoregenes_neighborhood_preflight.py,37,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_hallmark_scoregenes_neighborhood_preflight.py,39,"CODE_ROOT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_cross_sample_neighborhood_summaries.py,19,"RUN_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\SpottedPy_v2_paper_aligned"")",needs_config_parameterization
scripts\python\spottedpy_v2_visual_qc_contact_sheets.py,29,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\spottedpy_v2_visual_qc_contact_sheets.py,31,"CODE_ROOT = Path(r""C:\Users\luchu\Documents\MSc\Master Thesis\Code\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\gaston_method_aligned_preflight.py,36,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\visium"")",needs_config_parameterization
scripts\python\gaston_method_aligned_preflight.py,37,"OUT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\GASTON_method_v1"")",needs_config_parameterization
scripts\python\gaston_method_aligned_run.py,17,C:\\Users\\luchu\\anaconda3\\envs\\gaston_env\\python.exe scripts\\gaston_method_aligned_run.py features --samples Pt1-1 --layers whole --out-root D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\GASTON_method_v1_smoke,needs_config_parameterization
scripts\python\gaston_method_aligned_run.py,18,C:\\Users\\luchu\\anaconda3\\envs\\gaston_env\\python.exe scripts\\gaston_method_aligned_run.py train --samples Pt1-1 --layers whole --epochs 50 --restarts 1 --out-root D:\\HGSOC_Spatial_Atlas\\05_analysis_ready\\GASTON_method_v1_smoke,needs_config_parameterization
scripts\python\gaston_method_aligned_run.py,50,"GASTON_REPO = Path(r""D:\HGSOC_Spatial_Atlas\git_clones\GASTON"")",needs_config_parameterization
scripts\python\gaston_method_aligned_run.py,58,"BASE_DIR = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\visium"")",needs_config_parameterization
scripts\python\gaston_method_aligned_run.py,59,"OUT_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\GASTON_method_v1"")",needs_config_parameterization
scripts\python\gaston_build_isodepth_score_alignment.py,30,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\gaston_native_gene_gradient.py,27,"DATA_ROOT = Path(r""D:\HGSOC_Spatial_Atlas"")",needs_config_parameterization
scripts\python\gaston_build_gradient_identity_review.py,39,"GASTON_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\GASTON_method_v1"")",needs_config_parameterization
scripts\python\gaston_report_asset_composites.py,34,"GASTON_ROOT = Path(r""D:\HGSOC_Spatial_Atlas\05_analysis_ready\GASTON_method_v1"")",needs_config_parameterization
