dataset,sample,n_clusters,domain,n_spots,pct_Tumor,pct_Stroma,pct_Interface,category
visium/ju_2024,CPS_OV1RtOV3,5,4,629,40.54054054054054,11.76470588235294,47.69475357710652,Interface-dominant
visium/ju_2024,CPS_OV20RtOV4,5,0,1052,97.90874524714829,0.0,2.091254752851711,Tumor-pure
visium/ju_2024,CPS_OV20RtOV4,5,1,772,33.54922279792746,32.25388601036269,34.196891191709845,Mixed
visium/ju_2024,CPS_OV20RtOV4,5,2,544,55.33088235294118,15.992647058823529,28.676470588235293,Tumor-Interface
visium/ju_2024,CPS_OV20RtOV4,5,3,497,60.96579476861167,8.048289738430583,30.985915492957744,Tumor-Interface
visium/ju_2024,CPS_OV20RtOV4,5,4,170,62.94117647058823,1.7647058823529411,35.294117647058826,Tumor-Interface
visium/ju_2024,CPS_OV24RTOV4,5,0,1678,76.7580452920143,3.396901072705602,19.845053635280095,Tumor-Interface
visium/ju_2024,CPS_OV24RTOV4,5,1,866,79.21478060046189,1.9630484988452657,18.822170900692843,Tumor-Interface
visium/ju_2024,CPS_OV24RTOV4,5,2,770,2.0779220779220777,66.88311688311688,31.038961038961038,Stroma-Interface
visium/ju_2024,CPS_OV24RTOV4,5,3,836,83.01435406698565,1.1961722488038278,15.789473684210526,Tumor-Interface
visium/ju_2024,CPS_OV24RTOV4,5,4,329,12.76595744680851,76.89969604863222,10.33434650455927,Stroma-Interface
visium/ju_2024,CPS_OV34RtOV1,5,0,807,69.88847583643123,2.8500619578686495,27.261462205700127,Tumor-Interface
visium/ju_2024,CPS_OV34RtOV1,5,1,792,6.8181818181818175,52.14646464646465,41.035353535353536,Stroma-Interface
visium/ju_2024,CPS_OV34RtOV1,5,2,800,92.0,0.0,8.0,Tumor-pure
visium/ju_2024,CPS_OV34RtOV1,5,3,688,90.69767441860465,0.14534883720930233,9.156976744186046,Tumor-pure
