domain,Malignant,CAF,Endothelial,Plasma,B cell,T CD4,T CD8,NK,cDC,pDC,Macrophage,Mast,Neutrophil,Unidentifiable,dataset,sample
4,0.2158513598968659,0.3309864580848618,0.1104225154362252,0.0013935144529427,0.0061593520952666,0.0044669765684846,0.0021928828351463,0.0020007939972001,0.0079300894167499,0.0148748154199526,0.0175575419028284,0.0025572100060991,0.0006287555192753,0.2829777343681008,visium/denisenko_2022,SP8
0,0.1794617896072185,0.614854210153195,0.0625906659867162,0.0069312099701453,0.0183322524161518,0.0160637279648626,0.0009866917687054,0.0009187207586834,0.0095034279689185,0.0128010400477869,0.0368748744378533,0.0017614713689062,0.0020674243667907,0.0368524931840654,visium/yamamoto_2025,Pt1-1
1,0.4619293682841695,0.3640048430307362,0.0589808931039441,0.0060212574318846,0.0128335494434759,0.012250307121856,0.0008623175234135,0.0004066711658642,0.0029310221573924,0.0107229061387477,0.0301927896482031,0.0017013457643142,0.0010559252295282,0.0361068039564696,visium/yamamoto_2025,Pt1-1
2,0.4104706550086573,0.525807142902105,0.0341616292021564,0.0020449314238717,0.0034459731939244,0.0028727612751739,0.0003106464452174,0.0002808829783183,0.002192361086878,0.0031874566446119,0.011626215596028,0.0003942584935185,0.0004505740969587,0.0027545116525797,visium/yamamoto_2025,Pt1-1
3,0.8004275859028895,0.0768836421522917,0.0266370597912985,0.0049440289225924,0.0079411648971492,0.0065813440999854,0.0005866560827825,0.0002461283027847,0.0044301056264831,0.0062914352480088,0.0119743092335347,0.001857184302507,0.0006511942266679,0.0505507713805152,visium/yamamoto_2025,Pt1-1
4,0.1044835189687341,0.519723987254685,0.1238114246966226,0.011760690675721,0.0297589812525558,0.0156657821432604,0.0013591257839257,0.0007247298963987,0.0040103772407123,0.0231490260221441,0.043099867095398,0.0055380888609447,0.0083313403782642,0.1085830597306326,visium/yamamoto_2025,Pt1-1
0,0.1154491687979539,0.2634801995929607,0.0698833914544378,0.1319462613643295,0.0055556670889012,0.0121003181485281,0.0001441646869111,0.0008244737333512,0.0060595168016394,0.0278489048411248,0.1169925656320769,0.0014143201968308,0.0150370662694057,0.2332639813915481,visium/yamamoto_2025,Pt1-2
1,0.8426839231627609,0.0153812418945847,0.0288167635114858,0.0119359990942297,0.0022892584568079,0.0031113634635538,0.0002854842206857,9.496899927229156e-05,0.00552070577016,0.0051743751310589,0.0122514355379174,0.000608545734396,0.0021023204719956,0.069744956014505,visium/yamamoto_2025,Pt1-2
2,0.6511200896740948,0.0545290788983406,0.042794500387882,0.0483849358688551,0.0027246174505772,0.0051537816554578,0.0003169485692077,0.0001449521828984,0.0044433467703871,0.0092657310605845,0.054363280852014,0.0012605970453815,0.0078558969302925,0.1176422767837187,visium/yamamoto_2025,Pt1-2
3,0.7502126883811375,0.0292686304243494,0.0333294999561748,0.0269153251199433,0.0024891524721789,0.0017010208378099,4.7572992486338256e-05,0.0001255974776133,0.001097499017532,0.0075273301551914,0.0372928612731078,0.0005867905469507,0.0019669723836377,0.1074400506974234,visium/yamamoto_2025,Pt1-2
