domain,mean,std,median,count,dataset,sample
0,0.1219766059934855,1.0097675510712003,0.0927423463060339,640.0,visium/ju_2024,CPS_OV19_LtOV1
1,-0.0839080851283378,0.852330678697974,-0.1106467615301689,770.0,visium/ju_2024,CPS_OV19_LtOV1
2,-0.1375989722716965,1.1657381744764417,-0.0995981623496147,300.0,visium/ju_2024,CPS_OV19_LtOV1
3,0.14961409004419,1.0143361451961312,0.1648726809069388,769.0,visium/ju_2024,CPS_OV19_LtOV1
4,0.0418403485009002,0.954103049417696,0.0192174550369845,1050.0,visium/ju_2024,CPS_OV19_LtOV1
5,0.341302351374859,1.1547184643784971,0.373200995901058,197.0,visium/ju_2024,CPS_OV19_LtOV1
6,0.4446282848656335,1.0278733816264922,0.4880762392810914,157.0,visium/ju_2024,CPS_OV19_LtOV1
7,-0.4027720967155662,1.105718333699059,-0.3698128277158959,199.0,visium/ju_2024,CPS_OV19_LtOV1
8,-1.223682954899325,0.7492428669369704,-1.1709293952822248,120.0,visium/ju_2024,CPS_OV19_LtOV1
0,-0.0853955440612627,1.034554957048201,-0.0720365247244117,762.0,visium/ju_2024,CPS_OV1RtOV3
1,0.0152492114920944,0.9795870311549376,-0.0400988795155137,447.0,visium/ju_2024,CPS_OV1RtOV3
2,0.3411160427596041,1.2040029950166349,0.353589498266303,181.0,visium/ju_2024,CPS_OV1RtOV3
3,-0.0996850503946749,0.918968660875684,-0.1767992599641412,540.0,visium/ju_2024,CPS_OV1RtOV3
4,0.0227524895474653,0.9187961324904962,0.0061673161877776,319.0,visium/ju_2024,CPS_OV1RtOV3
5,0.1694175055138771,0.9851632547382556,0.2048098570386136,178.0,visium/ju_2024,CPS_OV1RtOV3
6,0.1814408348703368,0.9597748879168966,0.1152461611249984,445.0,visium/ju_2024,CPS_OV1RtOV3
7,-0.1667992700887481,0.9788211587100488,-0.1544181676215573,165.0,visium/ju_2024,CPS_OV1RtOV3
8,0.6172480963564094,1.092409410809169,0.5682508986783581,127.0,visium/ju_2024,CPS_OV1RtOV3
0,0.0303495565238069,1.0612432076637144,0.0498322716322242,666.0,visium/ju_2024,CPS_OV20RtOV4
1,0.058081170203557,0.8244162047107306,0.0303208060755562,199.0,visium/ju_2024,CPS_OV20RtOV4
2,-0.2145122845918798,1.1275527524257465,-0.1735597607353881,351.0,visium/ju_2024,CPS_OV20RtOV4
3,-0.422900617696182,1.1086955286723457,-0.444812555120061,245.0,visium/ju_2024,CPS_OV20RtOV4
4,0.029987900482447,0.802218826686732,0.0042721658314928,707.0,visium/ju_2024,CPS_OV20RtOV4
5,0.2041564141795067,1.2257614297121298,0.0834069876124304,354.0,visium/ju_2024,CPS_OV20RtOV4
6,0.0760738170135188,0.8808469446168379,0.103508557722566,205.0,visium/ju_2024,CPS_OV20RtOV4
7,0.2837685356018413,1.052712496291503,0.2129515302615553,158.0,visium/ju_2024,CPS_OV20RtOV4
8,0.3711000485803517,1.0621444604959154,0.3674085505698642,150.0,visium/ju_2024,CPS_OV20RtOV4
0,0.2398770434141218,0.7784570651505615,0.2300851561734403,984.0,visium/ju_2024,CPS_OV24RTOV4
1,-0.1757765603940488,0.8214888077135625,-0.1536151419456851,778.0,visium/ju_2024,CPS_OV24RTOV4
2,0.5817641211262496,0.8469407612839428,0.6194251775376208,594.0,visium/ju_2024,CPS_OV24RTOV4
3,-0.99847041645148,0.8129081678018137,-0.9744958538387258,491.0,visium/ju_2024,CPS_OV24RTOV4
4,0.3435658166844055,0.7826678463715774,0.3434705633835651,421.0,visium/ju_2024,CPS_OV24RTOV4
