review_role,selected_k,analysis_tier,feature_method,sample,dataset,relationship,stratum,variant,variant_label,spearman_rho,spearman_pvalue,n_spots
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,0.032246896354063095,0.08554315667305602,2844
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,all,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.10009327597867393,8.84505558975215e-08,2844
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_smooth_corrected,Smoothed corrected,-0.06601173069856053,0.01504807205637524,1356
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.02534703362698061,0.3509925342836854,1356
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,tumor,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.1421637052272206,1.464910568539129e-07,1356
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_smooth_corrected,Smoothed corrected,-0.0967354774064243,0.005832397722826417,811
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.09168271245740525,0.008990301279351754,811
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,interface,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.18512883088332724,1.09659446912468e-07,811
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_smooth_corrected,Smoothed corrected,-0.06770453323540111,0.07834266659668546,677
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_corrected,Unsmoothed corrected,-0.017330825006038907,0.6526130189040876,677
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_score,stroma,snai1ac_em_unsmoothed_uncorrected,Unsmoothed uncorrected,-0.23932318786376217,2.8379985387746857e-10,677
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_total_counts,all,,,0.10298597928489449,3.704636262168303e-08,2844
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_n_genes_by_counts,all,,,0.08897864447929027,2.009171305464379e-06,2844
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_n_genes,all,,,0.08897864447929027,2.009171305464379e-06,2844
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_n_counts,all,,,0.10298597928489449,3.704636262168303e-08,2844
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,isodepth_vs_Malignant,all,,,0.2877310107584851,2.416282200610369e-55,2844
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_corrected,Smoothed corrected vs Unsmoothed corrected,0.35469517218654095,4.4362151248892875e-85,2844
usable,4,primary_glmpca,glmpca,SP4,denisenko_2022,score_variant_vs_score_variant,all,snai1ac_em_smooth_corrected__vs__snai1ac_em_unsmoothed_uncorrected,Smoothed corrected vs Unsmoothed uncorrected,0.3383737327697439,3.996811876298039e-77,2844
