dataset,sample,feature_method,analysis_tier,selected_k,score_column,score_label,n_spots,observed_vs_fitted_pearson_r,in_sample_r2,n_positive_domain_slopes,n_negative_domain_slopes,n_zero_domain_slopes,both_positive_and_negative_slopes
yamamoto_2025,Pt1-2,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,1131,0.3979243834111519,0.1583438149131453,2,2,0,True
yamamoto_2025,Pt1-2,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,1131,0.4709054994124205,0.22175198937686136,2,2,0,True
yamamoto_2025,Pt1-3,glmpca,primary_glmpca,4,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,2002,0.4699940754414261,0.22089443095004102,4,0,0,False
yamamoto_2025,Pt1-3,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,2002,0.27370912615150694,0.07491668573862131,4,0,0,False
yamamoto_2025,Pt1-3,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,2002,0.40988030566224665,0.16800186496977687,4,0,0,False
yamamoto_2025,Pt1-4,glmpca,primary_glmpca,8,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,1387,0.451446192357983,0.20380366459452104,5,3,0,True
yamamoto_2025,Pt1-4,glmpca,primary_glmpca,8,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,1387,0.24095647062155104,0.058060020734394424,3,5,0,True
yamamoto_2025,Pt1-4,glmpca,primary_glmpca,8,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,1387,0.33188147093750414,0.11014531075164158,4,4,0,True
yamamoto_2025,Pt2-1,pearson,supplementary_pearson,5,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,1833,0.23952912182945313,0.05737420020438899,3,2,0,True
yamamoto_2025,Pt2-1,pearson,supplementary_pearson,5,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,1833,0.14069175639691198,0.0197941703180482,2,3,0,True
yamamoto_2025,Pt2-1,pearson,supplementary_pearson,5,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,1833,0.275169856780676,0.07571845008069766,2,3,0,True
yamamoto_2025,Pt2-2,glmpca,primary_glmpca,5,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,2026,0.19015850263441814,0.03616025612416396,1,4,0,True
yamamoto_2025,Pt2-2,glmpca,primary_glmpca,5,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,2026,0.09392428290890531,0.008821770919952066,1,4,0,True
yamamoto_2025,Pt2-2,glmpca,primary_glmpca,5,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,2026,0.40426672202800357,0.16343158253926715,1,4,0,True
yamamoto_2025,Pt2-3,glmpca,primary_glmpca,4,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,2111,0.36665863220872785,0.13443855257317494,2,2,0,True
yamamoto_2025,Pt2-3,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,2111,0.1859325990616379,0.03457093139381595,2,2,0,True
yamamoto_2025,Pt2-3,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,2111,0.2845558776317448,0.08097204749477238,1,3,0,True
yamamoto_2025,Pt2-4,glmpca,primary_glmpca,4,snai1ac_em_smooth_corrected,SNAI1-ac smooth+GAM,3270,0.33915506228765635,0.11502615627534418,3,1,0,True
yamamoto_2025,Pt2-4,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_corrected,SNAI1-ac unsmoothed+GAM,3270,0.1782576205732833,0.03177577929244857,3,1,0,True
yamamoto_2025,Pt2-4,glmpca,primary_glmpca,4,snai1ac_em_unsmoothed_uncorrected,SNAI1-ac unsmoothed no GAM,3270,0.3400985382447377,0.11566701571620752,4,0,0,False
