"comparison","gene","log2FC","padj","direction"
"PEO4_SNAI1_vs_GFP","IGFBPL1",9.06430885995867,0,"UP"
"PEO4_SNAI1_vs_GFP","ZNF469",4.58835510925614,0.000788041004393205,"UP"
"PEO4_SNAI1_vs_GFP","PCDH1",-2.79876669661123,8.10041742801018e-08,"DOWN"
"PEO4_SNAI1_vs_GFP","CABLES1",-2.76617533147194,1.79520889705699e-08,"DOWN"
"PEO4_SNAI1_vs_GFP","TP53I11",1.80303174431596,0.0233810624228912,"UP"
"PEO4_SNAI1_vs_GFP","ERVV-2",-6.35236402058775,2.26894949519597e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","LINC02523",-1.90311222597009,0.0163331839050816,"DOWN"
"PEO4_SNAI1_vs_GFP","TGM3",4.21929461772959,3.33110369606728e-12,"UP"
"PEO4_SNAI1_vs_GFP","HSPB3",3.36812109723522,3.20803229912984e-07,"UP"
"PEO4_SNAI1_vs_GFP","SLC28A1",-2.53649193383598,1.2626734670108e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","MAP3K15",-1.86177766860225,0.0243387178582188,"DOWN"
"PEO4_SNAI1_vs_GFP","CX3CL1",-2.30264192151935,0.00217380124173253,"DOWN"
"PEO4_SNAI1_vs_GFP","C1QTNF3",2.71269685953763,4.99197427721597e-06,"UP"
"PEO4_SNAI1_vs_GFP","CP",-4.70378083480297,0,"DOWN"
"PEO4_SNAI1_vs_GFP","LY6K",2.83891358432773,3.90344346154094e-05,"UP"
"PEO4_SNAI1_vs_GFP","TMC4",-2.3186998201258,2.1533796631556e-05,"DOWN"
"PEO4_SNAI1_vs_GFP","FRK",-1.9274670466224,0.00384564112535341,"DOWN"
"PEO4_SNAI1_vs_GFP","GAD1",5.15359749602499,3.76791359226528e-06,"UP"
"PEO4_SNAI1_vs_GFP","TNIK",-2.91505370704593,1.52631919558695e-08,"DOWN"
"PEO4_SNAI1_vs_GFP","CELSR1",-2.659848381845,1.42841850555493e-07,"DOWN"
"PEO4_SNAI1_vs_GFP","ABLIM3",-2.33574891239105,0.00243609433364009,"DOWN"
"PEO4_SNAI1_vs_GFP","CCDC146",2.76974152208729,5.3223449102591e-08,"UP"
"PEO4_SNAI1_vs_GFP","TJP3",-4.46225376101766,0,"DOWN"
"PEO4_SNAI1_vs_GFP","SLC46A2",-3.50680821971772,0.0013972966419643,"DOWN"
"PEO4_SNAI1_vs_GFP","IGFL1",2.47496336969604,0.0321299985763195,"UP"
"PEO4_SNAI1_vs_GFP","C1QTNF2",2.56433420069663,0.0373190875912045,"UP"
"PEO4_SNAI1_vs_GFP","ZNF467",-2.66042718533655,9.93957615430109e-06,"DOWN"
"PEO4_SNAI1_vs_GFP","MAFF",2.15843547352457,0.000517299298360468,"UP"
"PEO4_SNAI1_vs_GFP","PLEKHG7",5.91847709131676,3.25075152179854e-10,"UP"
"PEO4_SNAI1_vs_GFP","DES",3.94848701399007,9.72866110640948e-06,"UP"
"PEO4_SNAI1_vs_GFP","GAS7",5.75780185106313,6.10854116818462e-13,"UP"
