"ID","Description","GeneRatio","BgRatio","pvalue","p.adjust","qvalue","geneID","Count","comparison","direction","database"
"GO:0030509","BMP signaling pathway","30/384","125/13205",1.46134916584558e-19,7.53429877076669e-17,5.62564490911981e-17,"COMP/FST/GATA6/TGFBR3/ACVRL1/HTRA1/NOG/FBN1/SFRP1/FZD1/DKK1/SCUBE3/SMAD6/RUNX2/HTRA3/GREM2/RBPMS2/BMPER/WNT5A/ZNF423/BMP5/DLX1/BMP4/DLX3/MSX2/BMP2/BAMBI/SULF1/FSTL1/CCN1",30,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0048514","blood vessel morphogenesis","55/384","496/13205",5.53321921789277e-18,2.49617351967188e-15,1.86382121023756e-15,"APLN/CSPG4/PDGFRB/TBXA2R/DLL4/NGFR/COMP/UNC5B/GATA6/TGFBR3/ACVRL1/HEG1/EDN2/NOG/ADAMTS1/SFRP1/ADAMTS9/COL8A2/KLF2/CREB3L1/S1PR1/FGFR1/TBX4/GPNMB/PXDN/HOXA1/THBS1/PDGFRA/CCN2/TGFB2/EPHB1/AQP1/BMPER/WNT5A/TGFBI/COL8A1/APOE/ECM1/TBX2/WNT7A/BMP4/SERPINE1/HOXA7/RAMP2/FGF1/COL4A2/COL4A1/RHOB/TEAD2/SULF1/TGM2/PTGIS/CALD1/COL3A1/CCN1",55,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0030510","regulation of BMP signaling pathway","24/384","88/13205",2.81594768771407e-17,1.12919502277334e-14,8.4313755328047e-15,"FST/GATA6/ACVRL1/HTRA1/NOG/FBN1/SFRP1/FZD1/DKK1/SCUBE3/SMAD6/HTRA3/GREM2/RBPMS2/BMPER/WNT5A/ZNF423/DLX1/BMP4/MSX2/BAMBI/SULF1/FSTL1/CCN1",24,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0090287","regulation of cellular response to growth factor stimulus","39/384","264/13205",3.48209565953119e-17,1.25668832352481e-14,9.38333146147353e-15,"APLN/LDLRAD4/NGFR/FST/GATA6/TGFBR3/ADAMTS12/ACVRL1/HTRA1/NOG/HHIP/FBN1/SFRP1/FZD1/DKK1/SPRY4/CREB3L1/FBN2/SCUBE3/LTBP1/SMAD6/THBS1/RUNX2/HTRA3/GREM2/RBPMS2/BMPER/WNT5A/ZNF423/DLX1/BMP4/ZEB1/FGF1/MSX2/BMP2/BAMBI/SULF1/FSTL1/CCN1",39,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0141091","transforming growth factor beta receptor superfamily signaling pathway","40/384","283/13205",6.51500698754955e-17,2.13751456527876e-14,1.59602085053845e-14,"FMOD/LDLRAD4/COMP/FST/GATA6/TGFBR3/ACVRL1/HTRA1/NOG/FBN1/SFRP1/FZD1/DKK1/FBN2/SCUBE3/LTBP1/SMAD6/THBS1/TGFB2/RUNX2/HTRA3/GREM2/RBPMS2/BMPER/WNT5A/DAB2/ZNF423/BMP5/DLX1/BMP4/ZEB1/DLX3/MSX2/BMP2/INHBB/BAMBI/SULF1/FSTL1/COL3A1/CCN1",40,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0007178","cell surface receptor protein serine/threonine kinase signaling pathway","41/384","301/13205",9.94942602648472e-17,2.99228987746528e-14,2.23425707261411e-14,"FMOD/LDLRAD4/COMP/FST/GATA6/TGFBR3/ACVRL1/HTRA1/ATOH8/NOG/FBN1/SFRP1/FZD1/DKK1/FBN2/SCUBE3/LTBP1/SMAD6/THBS1/TGFB2/RUNX2/HTRA3/GREM2/RBPMS2/BMPER/WNT5A/DAB2/ZNF423/BMP5/DLX1/BMP4/ZEB1/DLX3/MSX2/BMP2/INHBB/BAMBI/SULF1/FSTL1/COL3A1/CCN1",41,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0090092","regulation of transmembrane receptor protein serine/threonine kinase signaling pathway","35/384","227/13205",4.07224050981038e-16,1.13051661537736e-13,8.44124348592273e-14,"LDLRAD4/FST/GATA6/TGFBR3/ACVRL1/HTRA1/ATOH8/NOG/FBN1/SFRP1/FZD1/DKK1/FBN2/SCUBE3/LTBP1/SMAD6/THBS1/TGFB2/HTRA3/GREM2/RBPMS2/BMPER/WNT5A/DAB2/ZNF423/BMP5/DLX1/BMP4/ZEB1/MSX2/BMP2/BAMBI/SULF1/FSTL1/CCN1",35,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0048729","tissue morphogenesis","51/384","481/13205",6.59903740451489e-16,1.70113757092102e-13,1.27019065831264e-13,"SNAI1/DLL4/NGFR/GCNT4/WNT6/FOXF2/DCHS1/FST/ADAMTS5/TGFBR3/ADAMTS12/ACVRL1/HEG1/HS3ST3B1/NOG/HHIP/FIGNL2/SFRP1/FZD1/TGM3/DKK1/TNNC1/S1PR1/FGFR1/TBX4/TGFB2/COL11A1/FOXE1/WNT5A/BMP5/TPM1/TBX2/WNT7A/BMP4/FOXQ1/DLX3/FGF1/ACTC1/MSX2/BMP2/DLC1/COL4A1/AJAP1/PDPN/RHOB/TEAD2/PHLDB2/SULF1/TGM2/COL3A1/CCN1",51,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0051216","cartilage development","29/384","161/13205",2.26352309011423e-15,5.44603655481485e-13,4.06639937592452e-13,"SNAI1/SOX6/COMP/ADAMTS7/PTH1R/ADAMTS12/ACVRL1/MAF/NOG/COL11A2/FGFR1/CCN2/RUNX2/COL11A1/WNT5A/TGFBI/BGN/BMP5/ECM1/WNT7A/BMP4/ZEB1/MSX2/BMP2/MATN3/SULF1/COL3A1/COL1A1/CCN1",29,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
"GO:0001525","angiogenesis","47/384","429/13205",2.89611348222492e-15,6.53254597334358e-13,4.87766481216828e-13,"APLN/CSPG4/PDGFRB/TBXA2R/DLL4/NGFR/UNC5B/GATA6/TGFBR3/ACVRL1/EDN2/ADAMTS1/SFRP1/ADAMTS9/COL8A2/KLF2/CREB3L1/S1PR1/FGFR1/TBX4/GPNMB/PXDN/THBS1/PDGFRA/CCN2/TGFB2/EPHB1/AQP1/BMPER/WNT5A/TGFBI/COL8A1/ECM1/WNT7A/BMP4/SERPINE1/HOXA7/RAMP2/FGF1/COL4A2/COL4A1/RHOB/SULF1/TGM2/PTGIS/CALD1/CCN1",47,"PEO4_SNAI1_vs_GFP","UP","GO_BP"
