level,group,final_label,set_type,rank_within_set,gene,n_programs_in_group,recurrence_count_in_MP,recurrence_fraction_in_MP,mean_loading_in_MP,median_loading_in_MP,recurrence_count_outside_MP,max_recurrence_fraction_other_MP,specificity_delta,specificity_ratio
final_mp,MP2,iCAF-stress,strict,25,CCDC80,4,2,0.5,0.00303626199295465,0.00303626199295465,5,0.23076923076923078,0.2692307692307692,2.1666572778184627
final_mp,MP2,iCAF-stress,strict,26,IER2,4,2,0.5,0.0030084231395524,0.0030084231395524,1,0.0,0.5,500000.0
final_mp,MP2,iCAF-stress,strict,27,COL5A1,4,2,0.5,0.0029117665523543997,0.0029117665523543997,16,1.0,-0.5,0.49999950000050003
final_mp,MP2,iCAF-stress,strict,28,MARCKSL1,4,2,0.5,0.0028738577217891498,0.0028738577217891498,1,0.0,0.5,500000.0
final_mp,MP2,iCAF-stress,strict,29,TGM2,4,2,0.5,0.0027550405600638003,0.0027550405600638003,5,0.2857142857142857,0.2142857142857143,1.7499938750214377
final_mp,MP2,iCAF-stress,strict,30,NR4A1,4,2,0.5,0.0026443929516692002,0.0026443929516692002,1,0.0,0.5,500000.0
final_mp,MP2,iCAF-stress,strict,31,TAGLN,4,2,0.5,0.002576522515438,0.002576522515438,10,0.38461538461538464,0.11538461538461536,1.299996620008788
final_mp,MP2,iCAF-stress,strict,32,GJB2,4,2,0.5,0.00243269692512385,0.00243269692512385,6,0.23076923076923078,0.2692307692307692,2.1666572778184627
final_mp,MP2,iCAF-stress,strict,33,PDLIM3,4,2,0.5,0.0021271134611742498,0.0021271134611742498,5,0.23076923076923078,0.2692307692307692,2.1666572778184627
final_mp,MP2,iCAF-stress,strict,34,DPYSL3,4,2,0.5,0.0020508728323825,0.0020508728323825,3,0.3333333333333333,0.16666666666666669,1.4999955000135001
final_mp,MP2,iCAF-stress,strict,35,EMILIN1,4,2,0.5,0.00168466885842865,0.00168466885842865,13,1.0,-0.5,0.49999950000050003
final_mp,MP2,iCAF-stress,strict,36,ACTA2,4,2,0.5,0.00158876838888255,0.00158876838888255,12,0.3333333333333333,0.16666666666666669,1.4999955000135001
final_mp,MP3,complement-CAF,strict,1,COL6A2,6,6,1.0,0.0035023851598991163,0.0035036085524497,16,0.6923076923076923,0.3076923076923077,1.444442358027705
final_mp,MP3,complement-CAF,strict,2,DCN,6,6,1.0,0.0032432193982609666,0.00331896176974805,12,0.8461538461538461,0.15384615384615385,1.1818167851256176
final_mp,MP3,complement-CAF,strict,3,C7,6,6,1.0,0.003136274542670583,0.0033517469377657002,3,0.14285714285714285,0.8571428571428572,6.999951000342998
final_mp,MP3,complement-CAF,strict,4,EMILIN1,6,6,1.0,0.003123767636543883,0.0031625877499812,9,0.5,0.5,1.999996000008
final_mp,MP3,complement-CAF,strict,5,AEBP1,6,6,1.0,0.003068779313631066,0.0032742315034103,15,0.8461538461538461,0.15384615384615385,1.1818167851256176
final_mp,MP3,complement-CAF,strict,6,ENG,6,6,1.0,0.0028794861192446004,0.002896496546363,7,0.8571428571428571,0.1428571428571429,1.1666653055571437
final_mp,MP3,complement-CAF,strict,7,SPARC,6,5,0.8333333333333334,0.0036636163158487193,0.0034859100564297,23,1.0,-0.16666666666666663,0.8333325000008335
final_mp,MP3,complement-CAF,strict,8,IGFBP4,6,5,0.8333333333333334,0.0036610936544648003,0.0036151043171811,5,0.25,0.5833333333333334,3.333320000053334
final_mp,MP3,complement-CAF,strict,9,COL1A2,6,5,0.8333333333333334,0.00346602401074848,0.0036748958610844,17,1.0,-0.16666666666666663,0.8333325000008335
final_mp,MP3,complement-CAF,strict,10,IGFBP7,6,5,0.8333333333333334,0.0034541938197105203,0.0032155088367368,15,0.8571428571428571,-0.023809523809523725,0.9722210879642863
final_mp,MP3,complement-CAF,strict,11,COL1A1,6,5,0.8333333333333334,0.0034398595393441396,0.0037815850187072,19,1.0,-0.16666666666666663,0.8333325000008335
final_mp,MP3,complement-CAF,strict,12,ISLR,6,5,0.8333333333333334,0.00316540106874144,0.0030159272105695,9,0.6153846153846154,0.21794871794871795,1.354164466149409
final_mp,MP3,complement-CAF,strict,13,COL3A1,6,5,0.8333333333333334,0.00311497149599742,0.0031883230412741,17,1.0,-0.16666666666666663,0.8333325000008335
final_mp,MP3,complement-CAF,strict,14,C1S,6,5,0.8333333333333334,0.00277998549993356,0.0030085065700498,5,0.23076923076923078,0.6025641025641026,3.6110954630307712
final_mp,MP3,complement-CAF,strict,15,NBL1,6,5,0.8333333333333334,0.0026849649105886,0.0029164824708675,9,0.75,0.08333333333333337,1.111109629631605
final_mp,MP3,complement-CAF,strict,16,SERPINF1,6,5,0.8333333333333334,0.00262462210545832,0.0027182798787301,10,0.6153846153846154,0.21794871794871795,1.354164466149409
final_mp,MP3,complement-CAF,strict,17,TIMP2,6,5,0.8333333333333334,0.00258695477849056,0.0026615024167357,6,0.38461538461538464,0.44871794871794873,2.16666103334798
final_mp,MP3,complement-CAF,strict,18,PCOLCE,6,5,0.8333333333333334,0.0025850518419063403,0.0026548321456787,9,0.6153846153846154,0.21794871794871795,1.354164466149409
final_mp,MP3,complement-CAF,strict,19,IGFBP5,6,5,0.8333333333333334,0.00246990753907196,0.0025310060759783,5,0.25,0.5833333333333334,3.333320000053334
final_mp,MP3,complement-CAF,strict,20,BGN,6,4,0.6666666666666666,0.0033424587073538755,0.0035307329489179503,12,0.75,-0.08333333333333337,0.8888877037052839
final_mp,MP3,complement-CAF,strict,21,TIMP1,6,4,0.6666666666666666,0.00317322092377835,0.00302698929650115,6,0.5,0.16666666666666663,1.3333306666719997
final_mp,MP3,complement-CAF,strict,22,LGALS1,6,4,0.6666666666666666,0.003029305031702975,0.00298751951278245,9,0.46153846153846156,0.20512820512820507,1.4444413148215955
final_mp,MP3,complement-CAF,strict,23,HTRA1,6,4,0.6666666666666666,0.003026772061390525,0.002963237699091,9,0.46153846153846156,0.20512820512820507,1.4444413148215955
final_mp,MP3,complement-CAF,strict,24,COL6A3,6,4,0.6666666666666666,0.00299100988966595,0.0029136129246223504,14,0.6923076923076923,-0.02564102564102566,0.96296157201847
final_mp,MP3,complement-CAF,strict,25,MEG3,6,4,0.6666666666666666,0.0028164557256262,0.0028545364598044,1,0.0,0.6666666666666666,666666.6666666666
final_mp,MP3,complement-CAF,strict,26,COLEC11,6,4,0.6666666666666666,0.0027025508406345747,0.0029818217713457997,1,0.0,0.6666666666666666,666666.6666666666
final_mp,MP3,complement-CAF,strict,27,LRP1,6,4,0.6666666666666666,0.002539350399646825,0.00271218664792325,1,0.14285714285714285,0.5238095238095237,4.666634000228665
final_mp,MP3,complement-CAF,strict,28,COL6A1,6,3,0.5,0.0037896243759098,0.0039658105016897,14,0.7692307692307693,-0.2692307692307693,0.6499991550010984
final_mp,MP3,complement-CAF,strict,29,MGP,6,3,0.5,0.003637202888640867,0.003730257328737,5,0.42857142857142855,0.07142857142857145,1.1666639444507965
