level,group,final_label,set_type,library,term_id,term,overlap_k,signature_size_n,term_size_K,universe_N,fold_enrichment,pvalue,overlap_genes,n_overlap_specific,n_overlap_shared,frac_overlap_specific,mean_overlap_specificity_delta,padj,driven_by_shared_only
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0042157,lipoprotein metabolic process,1,39,101,27377,6.95024117796395,0.13432547234563835,APOE,0,1,0.0,-0.5,0.1919768914062338,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0043367,"CD4-positive, alpha-beta T cell differentiation",1,39,101,27377,6.95024117796395,0.13432547234563835,LGALS1,0,0,0.0,0.205128205128205,0.1919768914062338,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0006935,chemotaxis,2,39,449,27377,3.126834561133002,0.134001327320183,ENG;NBL1,0,1,0.0,0.11309523809523811,0.1919768914062338,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0042330,taxis,2,39,451,27377,3.112968332480527,0.1349656657144647,ENG;NBL1,0,1,0.0,0.11309523809523811,0.19272440980928335,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0045833,negative regulation of lipid metabolic process,1,39,102,27377,6.882101558572146,0.13556323838825893,APOE,0,1,0.0,-0.5,0.19307491528024756,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0072526,pyridine-containing compound catabolic process,1,39,102,27377,6.882101558572146,0.13556323838825893,COL6A1,0,1,0.0,-0.2692307692307693,0.19307491528024756,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0090100,positive regulation of transmembrane receptor protein serine/threonine kinase signaling pathway,1,39,102,27377,6.882101558572146,0.13556323838825893,ENG,0,0,0.0,0.1428571428571429,0.19307491528024756,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0042391,regulation of membrane potential,2,39,453,27377,3.099224542933152,0.13593163459961877,DCN;COL6A1,0,1,0.0,-0.05769230769230774,0.19343212709028795,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0009191,ribonucleoside diphosphate catabolic process,1,39,103,27377,6.815285038586009,0.1367992799539,COL6A1,0,1,0.0,-0.2692307692307693,0.1939700369224167,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0015914,phospholipid transport,1,39,103,27377,6.815285038586009,0.1367992799539,APOE,0,1,0.0,-0.5,0.1939700369224167,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0046031,ADP metabolic process,1,39,103,27377,6.815285038586009,0.1367992799539,COL6A1,0,1,0.0,-0.2692307692307693,0.1939700369224167,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:1990542,mitochondrial transmembrane transport,1,39,103,27377,6.815285038586009,0.1367992799539,COL6A1,0,1,0.0,-0.2692307692307693,0.1939700369224167,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0043410,positive regulation of MAPK cascade,2,39,455,27377,3.0856015779092703,0.13689921754828316,IGFBP4;APOE,1,1,0.5,0.041666666666666685,0.1939700369224167,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0010595,positive regulation of endothelial cell migration,1,39,104,27377,6.749753451676528,0.13803359938199256,SPARC,0,1,0.0,-0.1666666666666666,0.19507325685857196,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0051099,positive regulation of binding,1,39,104,27377,6.749753451676528,0.13803359938199256,LRP1,1,0,1.0,0.5238095238095237,0.19507325685857196,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:1905477,positive regulation of protein localization to membrane,1,39,104,27377,6.749753451676528,0.13803359938199256,LRP1,1,0,1.0,0.5238095238095237,0.19507325685857196,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0042116,macrophage activation,1,39,105,27377,6.685470085470085,0.1392661990088799,C1QA,0,1,0.0,0.0,0.1961411792548009,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0043500,muscle adaptation,1,39,105,27377,6.685470085470085,0.1392661990088799,IGFBP5,1,0,1.0,0.5833333333333334,0.1961411792548009,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0046545,development of primary female sexual characteristics,1,39,105,27377,6.685470085470085,0.1392661990088799,A2M,0,1,0.0,-0.3571428571428571,0.1961411792548009,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0048144,fibroblast proliferation,1,39,105,27377,6.685470085470085,0.1392661990088799,COL3A1,0,1,0.0,-0.1666666666666666,0.1961411792548009,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0002526,acute inflammatory response,1,39,106,27377,6.62239961296565,0.14049708116782153,A2M,0,1,0.0,-0.3571428571428571,0.1977054734996291,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0007631,feeding behavior,1,39,107,27377,6.560508027797747,0.14172624818899623,COL6A1,0,1,0.0,-0.2692307692307693,0.19892464016288294,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0009134,nucleoside diphosphate catabolic process,1,39,107,27377,6.560508027797747,0.14172624818899623,COL6A1,0,1,0.0,-0.2692307692307693,0.19892464016288294,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0042472,inner ear morphogenesis,1,39,107,27377,6.560508027797747,0.14172624818899623,SPARC,0,1,0.0,-0.1666666666666666,0.19892464016288294,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0009057,macromolecule catabolic process,4,39,1420,27377,1.977392560491152,0.1420358434851769,TIMP2;TIMP1;LRP1;APOE,2,1,0.5,0.15979853479853479,0.19918922637094288,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:1901655,cellular response to ketone,1,39,108,27377,6.499762583095917,0.14295370239950705,SERPINF1,0,0,0.0,0.2179487179487179,0.20030565625825308,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0006810,transport,9,39,4272,27377,1.4788785652549699,0.14366296989768404,ENG;COL1A1;COLEC11;LRP1;COL6A1;APOE;FTL;HSPG2;SFRP4,2,5,0.2222222222222222,-0.0065120065120065525,0.20112815785675764,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0044344,cellular response to fibroblast growth factor stimulus,1,39,109,27377,6.440131733709715,0.14417944612338462,COL1A1,0,1,0.0,-0.1666666666666666,0.20167958237497255,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0003279,cardiac septum development,1,39,110,27377,6.381585081585081,0.14540348168159173,ENG,0,0,0.0,0.1428571428571429,0.2027023113273037,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0048675,axon extension,1,39,110,27377,6.381585081585081,0.14540348168159173,APOE,0,1,0.0,-0.5,0.2027023113273037,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0051224,negative regulation of protein transport,1,39,110,27377,6.381585081585081,0.14540348168159173,APOE,0,1,0.0,-0.5,0.2027023113273037,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0062014,negative regulation of small molecule metabolic process,1,39,110,27377,6.381585081585081,0.14540348168159173,APOE,0,1,0.0,-0.5,0.2027023113273037,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0010821,regulation of mitochondrion organization,1,39,111,27377,6.324093324093323,0.1466258113920261,DCN,0,0,0.0,0.1538461538461538,0.20423324279414304,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0010557,positive regulation of macromolecule biosynthetic process,6,39,2532,27377,1.6634463482804716,0.14708309703737169,DCN;EMILIN1;ENG;COL1A1;APOE;SFRP4,1,2,0.16666666666666666,0.04090354090354089,0.2046968651662237,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0043393,regulation of protein binding,1,39,112,27377,6.267628205128204,0.14784643756952606,LRP1,1,0,1.0,0.5238095238095237,0.2050652527840391,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0045445,myoblast differentiation,1,39,112,27377,6.267628205128204,0.14784643756952606,LGALS1,0,0,0.0,0.205128205128205,0.2050652527840391,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:1902106,negative regulation of leukocyte differentiation,1,39,112,27377,6.267628205128204,0.14784643756952606,LGALS1,0,0,0.0,0.205128205128205,0.2050652527840391,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0050877,nervous system process,4,39,1441,27377,1.9485755974305592,0.14754039569036057,COL1A1;SERPINF1;COL6A1;APOE,0,3,0.0,-0.1794871794871795,0.2050652527840391,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0010876,lipid localization,2,39,478,27377,2.9371312090977364,0.14813720727852236,LRP1;APOE,1,1,0.5,0.011904761904761862,0.2052954557482471,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0002062,chondrocyte differentiation,1,39,113,27377,6.2121624687996375,0.14906536252587255,COL3A1,0,1,0.0,-0.1666666666666666,0.20623424840627447,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0043473,pigmentation,1,39,113,27377,6.2121624687996375,0.14906536252587255,APOE,0,1,0.0,-0.5,0.20623424840627447,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0006720,isoprenoid metabolic process,1,39,114,27377,6.157669815564552,0.1502825885697946,LRP1,1,0,1.0,0.5238095238095237,0.207743578317069,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0009135,purine nucleoside diphosphate metabolic process,1,39,115,27377,6.1041248606466,0.15149811800697235,COL6A1,0,1,0.0,-0.2692307692307693,0.20854761851168999,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0009179,purine ribonucleoside diphosphate metabolic process,1,39,115,27377,6.1041248606466,0.15149811800697235,COL6A1,0,1,0.0,-0.2692307692307693,0.20854761851168999,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0031640,killing of cells of another organism,1,39,115,27377,6.1041248606466,0.15149811800697235,C7,1,0,1.0,0.8571428571428572,0.20854761851168999,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0141061,disruption of cell in another organism,1,39,115,27377,6.1041248606466,0.15149811800697235,C7,1,0,1.0,0.8571428571428572,0.20854761851168999,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:1903076,regulation of protein localization to plasma membrane,1,39,115,27377,6.1041248606466,0.15149811800697235,LRP1,1,0,1.0,0.5238095238095237,0.20854761851168999,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0043534,blood vessel endothelial cell migration,1,39,116,27377,6.0515030946065425,0.15271195314004135,APOE,0,1,0.0,-0.5,0.20986730402286385,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0045785,positive regulation of cell adhesion,2,39,487,27377,2.8828515768967513,0.1525869433518626,EMILIN1;LGALS1,1,0,0.5,0.35256410256410253,0.20986730402286385,False
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0032355,response to estradiol,1,39,117,27377,5.9997808459346915,0.15392409626859646,COL1A1,0,1,0.0,-0.1666666666666666,0.21065319331267984,True
final_mp,MP3,complement-CAF,strict,GO_BP,GO:0071482,cellular response to light stimulus,1,39,117,27377,5.9997808459346915,0.15392409626859646,TIMP1,0,0,0.0,0.1666666666666666,0.21065319331267984,False
