source_group,source_label,target_class,target_variable,target_label,hallmark_group,n_samples,n_positive,n_negative,corr_mean,corr_median,fisher_z_mean,fisher_z_median,corr_from_mean_fisher_z,corr_from_median_fisher_z,p_cross_sample_fisher_t,p_cross_sample_wilcoxon,q_cross_sample_class_fisher_t,q_cross_sample_class_wilcoxon,sig_cross_sample_class,sig_marker_cross_sample_class,cross_sample_bh_scope
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,APICAL_JUNCTION,APICAL JUNCTION,"Structure, Adhesion & Cellular Components",23,11,12,-0.040716386458571265,-0.0169372012623283,-0.04153004935225198,-0.01693882112594194,-0.04150618956462427,-0.0169372012623283,0.2978242633905048,0.3294053077697754,0.4646058508891875,0.535283625125885,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,APICAL_SURFACE,APICAL SURFACE,"Structure, Adhesion & Cellular Components",23,9,14,0.0019877490749915638,-0.0255656607515599,0.002834656528165,-0.02557123286783145,0.0028346489357720037,-0.025565660751559898,0.9250429898413726,0.869666576385498,0.956380759174314,0.8925525389219585,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,APOPTOSIS,APOPTOSIS,Cellular Stress & Apoptosis,23,13,10,0.039467610872987245,0.0290495768181284,0.04212283403372265,0.029057752390127877,0.042097938389282566,0.029049576818128395,0.27645450095764346,0.5009052753448486,0.46168266139873926,0.6976894906588963,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,CHOLESTEROL_HOMEOSTASIS,CHOLESTEROL HOMEOSTASIS,Metabolism,23,14,9,0.03963057301266105,0.0134703688204461,0.04129590004589092,0.013471183645720322,0.041272441374761513,0.0134703688204461,0.28411240701460877,0.28614330291748047,0.46168266139873926,0.507254036990079,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,COMPLEMENT,COMPLEMENT,Immune Response & Inflammation,23,16,7,0.009772980885288569,0.0347294296286482,0.00799882827875645,0.034743402515591826,0.007998657691434714,0.03472942962864821,0.8500097647515856,0.39307284355163574,0.956380759174314,0.6131936359405518,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,DNA_REPAIR,DNA REPAIR,Cellular Stress & Apoptosis,23,19,4,0.15196734011598337,0.1510495223940357,0.15981874391493625,0.15221428949397278,0.1584718052306775,0.1510495223940357,0.0005849492552962722,0.00025343894958496094,0.007052718054733495,0.007172107696533203,True,**,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,E2F_TARGETS,E2F TARGETS,Proliferation,23,13,10,0.08469873884062486,0.1328389527749427,0.08921391281446786,0.13362869840840821,0.08897797578082943,0.1328389527749427,0.0798838050827858,0.09798812866210938,0.17308157767936921,0.22479629516601562,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,EPITHELIAL_MESENCHYMAL_TRANSITION,EPITHELIAL MESENCHYMAL TRANSITION,"Structure, Adhesion & Cellular Components",23,8,15,-0.09694795212970045,-0.1188350185486999,-0.10314757291815167,-0.1193991932057663,-0.10278331286757511,-0.11883501854869992,0.0516560737945531,0.05625271797180176,0.1259116798742232,0.1567040000643049,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,ESTROGEN_RESPONSE_EARLY,ESTROGEN RESPONSE EARLY,Other Biological States,23,15,8,0.06514769290930011,0.071491872121561,0.07222191911132222,0.07161404742150754,0.07209661057067111,0.07149187212156098,0.14309847316918847,0.21117830276489258,0.2657543073142071,0.4117976903915405,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,ESTROGEN_RESPONSE_LATE,ESTROGEN RESPONSE LATE,Other Biological States,23,13,10,0.055212066755918686,0.0031186396448935,0.05853114372898307,0.0031186497554920333,0.058464394684195294,0.0031186396448935005,0.13850975607461427,0.2725830078125,0.2657543073142071,0.5062255859375,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,FATTY_ACID_METABOLISM,FATTY ACID METABOLISM,Metabolism,23,17,6,0.10037986598569,0.0612945507435106,0.10480605435737975,0.06137148590390828,0.10442399224850227,0.0612945507435106,0.027522087903082096,0.027674198150634766,0.10733614282202017,0.09778273105621338,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,G2M_CHECKPOINT,G2M CHECKPOINT,Proliferation,23,14,9,0.10036504631174269,0.1349489623795551,0.1073325336283214,0.1357772268086489,0.10692225743378288,0.1349489623795551,0.0483089138994756,0.052229881286621094,0.1259116798742232,0.15668964385986328,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,GLYCOLYSIS,GLYCOLYSIS,Metabolism,23,17,6,0.10951823939700081,0.1239991105543898,0.11211191977033526,0.12464056642343,0.11164455471146292,0.12399911055438981,0.0017890013172566126,0.0014584064483642578,0.011628508562167982,0.009479641914367676,True,*,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,HEDGEHOG_SIGNALING,HEDGEHOG SIGNALING,Signaling & Development,23,13,10,0.007400338232924621,0.0243745002711636,0.0075140340658532215,0.02437932908828279,0.007513892653152637,0.0243745002711636,0.8260445710157915,0.776785135269165,0.956380759174314,0.8415172298749288,False,,source_group__target_class
snai1ac_consensus_cold,SNAI1-ac cold,hallmark,HYPOXIA,HYPOXIA,Cellular Stress & Apoptosis,23,11,12,-0.01815025359016343,-0.0471873404452574,-0.018346805873328657,-0.04722241046371938,-0.018344747606513057,-0.047187340445257395,0.5711251537450318,0.481952428817749,0.7424626998685414,0.6961535082923042,False,,source_group__target_class
